Date,Open,High,Low,Last,Close
19/01/2023,744.22,746.04,735.68,735.68,735.68
18/01/2023,750.99,755.55,748.61,749.12,749.12
17/01/2023,745.87,751.74,742.86,748.81,748.81
16/01/2023,748.94,749.45,746.23,748.35,748.35
13/01/2023,744.99,750.41,743.84,748.04,748.04
12/01/2023,738.29,746.24,737.84,741.9,741.9
11/01/2023,734.88,741.09,734.53,738.83,738.83
10/01/2023,730.41,735.33,730.41,733.03,733.03
09/01/2023,730.6,737.78,728.19,736.18,736.18
06/01/2023,715.92,725.14,712.16,724.26,724.26
05/01/2023,715.92,718.51,712.74,714.32,714.32
04/01/2023,709.96,719.16,709.96,717.51,717.51
03/01/2023,702.49,715.04,702.49,707.63,707.63
02/01/2023,697.11,701.53,694.63,701.16,701.16
30/12/2022,697.75,697.75,688.24,689.01,689.01
29/12/2022,694.09,701.41,691.6,701.01,701.01
28/12/2022,700.68,701.7,694.66,694.84,694.84
27/12/2022,705.72,707,699.61,701.06,701.06
23/12/2022,700.79,703.65,697.59,701.06,701.06
22/12/2022,711.35,713.02,699.28,700.4,700.4
21/12/2022,699.71,710.07,698.76,709.58,709.58
20/12/2022,694.34,700.32,692.79,697.25,697.25
19/12/2022,702.82,706.31,700.68,700.71,700.71
16/12/2022,705.35,707.22,697.17,700,700
15/12/2022,723.26,725,707.14,707.6,707.6
14/12/2022,729.85,732.13,727.72,730.87,730.87
13/12/2022,724.76,741.09,721.52,732.95,732.95
12/12/2022,719.2,722.23,718.12,720.69,720.69
09/12/2022,722.84,725.59,718.58,724.17,724.17
08/12/2022,719.26,721.83,715.62,719.83,719.83
07/12/2022,719.7,722.81,715.96,718.34,718.34
06/12/2022,725.84,728.56,720.66,723.68,723.68
05/12/2022,730.46,731.04,726.46,727.09,727.09
02/12/2022,728.85,732.89,722.82,731.04,731.04
01/12/2022,731.73,734.56,728.76,731.74,731.74
30/11/2022,721.67,726.07,720.24,724.1,724.1
29/11/2022,723.76,726.2,716.88,717.74,717.74
28/11/2022,716.73,721.84,715.17,720.51,720.51
25/11/2022,721.31,725.8,721.12,722.93,722.93
24/11/2022,720.01,726.46,720.01,722.74,722.74
23/11/2022,718.93,722.69,716.35,721.45,721.45
22/11/2022,711.14,717.31,706.84,716.33,716.33
21/11/2022,711.72,712.72,708.63,710.38,710.38
18/11/2022,710.73,716.96,708.16,712.55,712.55
17/11/2022,710.59,711.1,700.94,708.38,708.38
16/11/2022,716.19,717.99,707.82,709.11,709.11
15/11/2022,710.44,718.45,709.85,716.43,716.43
14/11/2022,706.44,710.6,703.88,706.67,706.67
11/11/2022,707.79,710.12,700.39,702.91,702.91
10/11/2022,670.57,701.68,670.33,700.65,700.65
09/11/2022,680.51,682.15,674.31,677.26,677.26
08/11/2022,674.14,684.28,673.29,683.96,683.96
07/11/2022,668.83,677.51,668.64,676.06,676.06
04/11/2022,664.18,676.88,663.58,671.88,671.88
03/11/2022,658.9,662.47,654.83,661.18,661.18
02/11/2022,673.5,677.2,667.13,667.24,667.24
01/11/2022,675.28,680,672.68,673.32,673.32
31/10/2022,671.52,673.18,667.28,670.62,670.62
28/10/2022,659.71,668.37,657.37,667.52,667.52
27/10/2022,664.93,671.38,661.89,669.4,669.4
26/10/2022,661.29,666.66,654.24,665.63,665.63
25/10/2022,658.17,666.54,654.9,666.21,666.21
24/10/2022,653.19,658.22,647.34,653.54,653.54
21/10/2022,647.06,654.95,641.22,652.46,652.46
20/10/2022,643.67,653.01,641.83,652.04,652.04
19/10/2022,647.82,649.3,641.14,645.39,645.39
18/10/2022,645.28,650.51,642.3,642.48,642.48
17/10/2022,631.81,643.83,628.18,640.95,640.95
14/10/2022,640.88,644.78,629.72,630.58,630.58
13/10/2022,627.26,633.9,611.74,633.01,633.01
12/10/2022,633.29,638.18,627.08,631.18,631.18
11/10/2022,636.6,640.53,631.23,636.31,636.31
10/10/2022,640.42,649.8,640,641.21,641.21
07/10/2022,655.87,660.32,646.81,647.11,647.11
06/10/2022,667.21,668.68,659.1,661.38,661.38
05/10/2022,666.61,669.76,661.37,664.45,664.45
04/10/2022,653.15,669.59,653.15,669.59,669.59
03/10/2022,633.48,646.97,630.85,645.8,645.8
30/09/2022,636.24,642.36,633.76,640.62,640.62
29/09/2022,639.28,639.28,628.83,633.55,633.55
28/09/2022,633.66,642.18,627.35,641.09,641.09
27/09/2022,645.57,650.99,642.72,642.72,642.72
26/09/2022,638.14,647.79,635.7,640.41,640.41
23/09/2022,654.21,654.54,637.36,639.28,639.28
22/09/2022,658.76,670.41,657.37,657.4,657.4
21/09/2022,657.79,671.03,657.43,669.79,669.79
20/09/2022,667.14,672.66,660.09,661.61,661.61
19/09/2022,661.78,668.12,657.04,665.43,665.43
16/09/2022,668.99,670.11,663.48,664.83,664.83
15/09/2022,680.45,684.93,672.98,674.74,674.74
14/09/2022,679.48,684.73,675.72,680.86,680.86
13/09/2022,698.68,703.39,684.23,684.23,684.23
12/09/2022,687.82,699.21,686.83,696.87,696.87
09/09/2022,675.96,688.42,675.96,685.97,685.97
08/09/2022,673.65,675.76,663.63,674.4,674.4
07/09/2022,667.65,672.9,664.87,671.27,671.27
06/09/2022,672.58,678.82,668.54,675.27,675.27
05/09/2022,668.71,675.45,664.51,674.12,674.12
02/09/2022,673.19,679.66,668.42,678.57,678.57
01/09/2022,674.96,675.68,664.89,666.94,666.94
31/08/2022,695.93,697.22,680.31,680.31,680.31
30/08/2022,700.58,707.69,687.32,690.31,690.31
29/08/2022,695.97,701.33,692.93,698.33,698.33
26/08/2022,720.32,722.57,703.36,705.08,705.08
25/08/2022,717.72,720.56,713.14,718.25,718.25
24/08/2022,708.23,714.72,705.12,713.81,713.81
23/08/2022,706.89,712.52,706.89,710.87,710.87
22/08/2022,714.07,717.02,708.56,711.04,711.04
19/08/2022,722.17,728.19,719.07,719.52,719.52
18/08/2022,719.03,726.11,716.04,725.86,725.86
17/08/2022,730.58,730.62,722.46,723.09,723.09
16/08/2022,731.43,732.29,725.47,728.11,728.11
15/08/2022,729.67,730.39,722.05,728.88,728.88
12/08/2022,723.66,726.59,720.21,725.76,725.76
11/08/2022,728.54,729.85,723.21,725.79,725.79
10/08/2022,712.82,725.22,712.67,724.27,724.27
09/08/2022,727.1,728.18,716.48,716.93,716.93
08/08/2022,728.21,733.28,725.83,727.87,727.87
05/08/2022,730.29,732.19,720.49,722.74,722.74
04/08/2022,732.56,736.34,729.72,731.58,731.58
03/08/2022,726.7,735.02,725.01,734.53,734.53
02/08/2022,726.88,727.02,720.86,725.75,725.75
01/08/2022,728.68,732.41,725.31,728.18,728.18
29/07/2022,722.73,732.58,722.54,729.44,729.44
28/07/2022,718.62,722.38,713.52,722.38,722.38
27/07/2022,711.05,716.64,709.91,713.53,713.53
26/07/2022,708.68,712.19,705.21,706.26,706.26
25/07/2022,702.79,707.08,699.47,707.01,707.01
22/07/2022,704.18,711,702.77,705.04,705.04
21/07/2022,694.49,704.61,694.16,704.61,704.61
20/07/2022,688.74,695.27,685.89,694.41,694.41
19/07/2022,674.24,691.06,673.35,689.47,689.47
18/07/2022,678.68,683.57,676.92,681.1,681.1
15/07/2022,662.52,672.63,660.17,671.92,671.92
14/07/2022,666.38,668.46,654.62,659.71,659.71
13/07/2022,670.3,670.63,656.66,665.91,665.91
12/07/2022,664.88,672.08,660.7,670.68,670.68
11/07/2022,663.96,673.37,662.79,669.17,669.17
08/07/2022,671.65,675.15,665.73,674.22,674.22
07/07/2022,665.48,672.38,663.12,671.42,671.42
06/07/2022,655.27,661.51,652.94,656.71,656.71
05/07/2022,662.79,664.06,643.6,644.22,644.22
04/07/2022,659.14,661.57,656.1,659.61,659.61
01/07/2022,651.22,661,648.7,655.68,655.68
30/06/2022,657.26,660.85,652.5,659.23,659.23
29/06/2022,664.09,669.36,660.07,666.57,666.57
28/06/2022,674.34,676.11,668.83,669.01,669.01
27/06/2022,662.21,676.07,661.42,670.53,670.53
24/06/2022,638.82,660.88,638.26,660.32,660.32
23/06/2022,637.22,643.22,632.02,635.93,635.93
22/06/2022,638.16,644.46,633.72,641.87,641.87
